"description","region","gender","industry","skill","x","y"
"","IT","male","mining","high",3.1683,-0.0111
"","IT","male","mining","high",3.3444,-0.0091
"","IT","male","mining","high",5.3293,0
"","IT","female","mining","low",-2.0427,-2.0427
"","IT","female","mining","low",-1.5893,-1.5984
"","IT","female","mining","low",-1.1666,-1.2038
"","IT","female","mining","low",-0.8284,-0.9105
"","IT","female","mining","low",-0.6287,-0.7499
"","IT","female","mining","low",-0.4022,-0.5849
"","IT","female","mining","low",-0.1822,-0.44589
"","IT","female","mining","low",0.0976,-0.3099
"","IT","female","mining","low",0.4023,-0.2108
"","IT","female","mining","low",0.4806,-0.1914
"","IT","female","mining","low",0.6045,-0.1662
"","IT","female","mining","low",0.823,-0.129
"","IT","female","mining","low",1.054,-0.0993
"","IT","female","mining","low",1.7464,-0.0502
"","IT","female","mining","low",2.3481,-0.026
"","IT","female","mining","low",2.8356,-0.015
"","IT","female","mining","low",2.9672,-0.0135
"","IT","female","mining","low",6.107,0
"","IT","female","mining","medium",-2.277,-2.277
"","IT","female","mining","medium",-2.0046,-2.0085
"","IT","female","mining","medium",-1.6307,-1.65
"","IT","female","mining","medium",-1.2669,-1.3065
"","IT","female","mining","medium",-1.0393,-1.1003
"","IT","female","mining","medium",-0.9046,-0.9814
"","IT","female","mining","medium",-0.7949,-0.8881
"","IT","female","mining","medium",-0.6289,-0.7554
"","IT","female","mining","medium",-0.5628,-0.7053
"","IT","female","mining","medium",-0.4881,-0.652
"","IT","female","mining","medium",-0.4203,-0.6058
"","IT","female","mining","medium",-0.3355,-0.5509
"","IT","female","mining","medium",-0.2562,-0.5029
"","IT","female","mining","medium",-0.1773,-0.4588
"","IT","female","mining","medium",-0.075,-0.4068
"","IT","female","mining","medium",0.0194,-0.3638
"","IT","female","mining","medium",0.1638,-0.3057
"","IT","female","mining","medium",0.3106,-0.2549
"","IT","female","mining","medium",0.4996,-0.2005
"","IT","female","mining","medium",0.7704,-0.1412
"","IT","female","mining","medium",1.0269,-0.0994
"","IT","female","mining","medium",1.344,-0.0606
"","IT","female","mining","medium",1.6281,-0.0402
"","IT","female","mining","medium",2.2378,-0.0193
"","IT","female","mining","medium",2.6657,-0.012
"","IT","female","mining","medium",3.3064,-0.0054
"","IT","female","mining","medium",4.1249,-0.0033
"","IT","female","mining","medium",6.3384,0
"","IT","female","mining","high",-1.7955,-1.7955
"","IT","female","mining","high",-1.1324,-1.143
"","IT","female","mining","high",-0.8759,-0.9044
"","IT","female","mining","high",-0.7448,-0.7976
"","IT","female","mining","high",-0.5959,-0.691
"","IT","female","mining","high",-0.4507,-0.5996
"","IT","female","mining","high",-0.2235,-0.4767
"","IT","female","mining","high",0.1138,-0.3343
"","IT","female","mining","high",0.4051,-0.2524
"","IT","female","mining","high",0.6195,-0.2066
"","IT","female","mining","high",1.2243,-0.1108
"","IT","female","mining","high",1.6961,-0.0589
"","IT","female","mining","high",2.0576,-0.0363
"","IT","female","mining","high",3.0763,-0.0057
"","IT","female","mining","high",3.5053,0
"","IT","male","manufacturing","low",-2.2864,-2.2864
"","IT","male","manufacturing","low",-2.2017,-2.2019
"","IT","male","manufacturing","low",-2.0975,-2.099
"","IT","male","manufacturing","low",-1.8973,-1.9029
"","IT","male","manufacturing","low",-1.774,-1.7838
"","IT","male","manufacturing","low",-1.6638,-1.678
"","IT","male","manufacturing","low",-1.5917,-1.6096
"","IT","male","manufacturing","low",-1.514,-1.5366
"","IT","male","manufacturing","low",-1.4558,-1.4822
"","IT","male","manufacturing","low",-1.352,-1.3856
"","IT","male","manufacturing","low",-1.2594,-1.3
"","IT","male","manufacturing","low",-1.0985,-1.1537
"","IT","male","manufacturing","low",-0.9821,-1.05
"","IT","male","manufacturing","low",-0.8549,-0.9383
"","IT","male","manufacturing","low",-0.7614,-0.8579
"","IT","male","manufacturing","low",-0.7028,-0.8089
"","IT","male","manufacturing","low",-0.6455,-0.7625
"","IT","male","manufacturing","low",-0.5534,-0.6909
"","IT","male","manufacturing","low",-0.4736,-0.6322
"","IT","male","manufacturing","low",-0.4285,-0.6004
"","IT","male","manufacturing","low",-0.3892,-0.5737
"","IT","male","manufacturing","low",-0.3228,-0.5308
"","IT","male","manufacturing","low",-0.2329,-0.4763
"","IT","male","manufacturing","low",-0.1158,-0.412
"","IT","male","manufacturing","low",0.0125,-0.3505
"","IT","male","manufacturing","low",0.2348,-0.2625
"","IT","male","manufacturing","low",0.3934,-0.2092
"","IT","male","manufacturing","low",0.6203,-0.15
"","IT","male","manufacturing","low",0.9132,-0.1
"","IT","male","manufacturing","low",1.3509,-0.0575
"","IT","male","manufacturing","low",1.7221,-0.0392
"","IT","male","manufacturing","low",2.3249,-0.0236
"","IT","male","manufacturing","low",3.0887,-0.0161
"","IT","male","manufacturing","low",3.7224,-0.0119
"","IT","male","manufacturing","low",3.9812,-0.0105
"","IT","male","manufacturing","low",4.0437,-0.0102
"","IT","male","manufacturing","low",5.1189,-0.0059
"","IT","male","manufacturing","low",5.3928,-0.005
"","IT","male","manufacturing","low",8.7342,0
"","IT","male","manufacturing","medium",-2.1433,-2.1433
"","IT","male","manufacturing","medium",-1.8691,-1.8716
"","IT","male","manufacturing","medium",-1.592,-1.6018
"","IT","male","manufacturing","medium",-1.2945,-1.3177
"","IT","male","manufacturing","medium",-1.0685,-1.1074
"","IT","male","manufacturing","medium",-0.9028,-0.9585
"","IT","male","manufacturing","medium",-0.7853,-0.8566
"","IT","male","manufacturing","medium",-0.6764,-0.7677
"","IT","male","manufacturing","medium",-0.5407,-0.6656
"","IT","male","manufacturing","medium",-0.4263,-0.5877
"","IT","male","manufacturing","medium",-0.3302,-0.5289
"","IT","male","manufacturing","medium",-0.1916,-0.4553
"","IT","male","manufacturing","medium",0.012,-0.3656
"","IT","male","manufacturing","medium",0.191,-0.3002
"","IT","male","manufacturing","medium",0.5458,-0.2011
"","IT","male","manufacturing","medium",0.811,-0.147
"","IT","male","manufacturing","medium",1.1952,-0.092
"","IT","male","manufacturing","medium",1.6242,-0.0539
"","IT","male","manufacturing","medium",1.9679,-0.0341
"","IT","male","manufacturing","medium",2.2563,-0.0242
"","IT","male","manufacturing","medium",3.1562,-0.01
"","IT","male","manufacturing","medium",4.2379,-0.0043
"","IT","male","manufacturing","medium",5.058,-0.0021
"","IT","male","manufacturing","medium",5.4081,-0.0016
"","IT","male","manufacturing","medium",6.1191,-6e-04
"","IT","male","manufacturing","medium",6.9186,0
"","IT","male","manufacturing","high",-1.6358,-1.6358
"","IT","male","manufacturing","high",-1.2653,-1.2743
"","IT","male","manufacturing","high",-0.9825,-1.0089
"","IT","male","manufacturing","high",-0.8129,-0.8576
"","IT","male","manufacturing","high",-0.6192,-0.7057
"","IT","male","manufacturing","high",-0.4743,-0.6007
"","IT","male","manufacturing","high",-0.325,-0.5094
"","IT","male","manufacturing","high",-0.1116,-0.4021
"","IT","male","manufacturing","high",0.1088,-0.3086
"","IT","male","manufacturing","high",0.2839,-0.2518
"","IT","male","manufacturing","high",0.5082,-0.1989
"","IT","male","manufacturing","high",0.8715,-0.1509
"","IT","male","manufacturing","high",1.3437,-0.1038
"","IT","male","manufacturing","high",1.9522,-0.057
"","IT","male","manufacturing","high",2.6354,-0.0221
"","IT","male","manufacturing","high",3.1683,-0.0111
"","IT","male","manufacturing","high",3.3444,-0.0091
"","IT","male","manufacturing","high",5.3293,0
"","IT","female","manufacturing","low",-2.0427,-2.0427
"","IT","female","manufacturing","low",-1.5893,-1.5984
"","IT","female","manufacturing","low",-1.1666,-1.2038
"","IT","female","manufacturing","low",-0.8284,-0.9105
"","IT","female","manufacturing","low",-0.6287,-0.7499
"","IT","female","manufacturing","low",-0.4022,-0.5849
"","IT","female","manufacturing","low",-0.1822,-0.44589
"","IT","female","manufacturing","low",0.0976,-0.3099
"","IT","female","manufacturing","low",0.4023,-0.2108
"","IT","female","manufacturing","low",0.4806,-0.1914
"","IT","female","manufacturing","low",0.6045,-0.1662
"","IT","female","manufacturing","low",0.823,-0.129
"","IT","female","manufacturing","low",1.054,-0.0993
"","IT","female","manufacturing","low",1.7464,-0.0502
"","IT","female","manufacturing","low",2.3481,-0.026
"","IT","female","manufacturing","low",2.8356,-0.015
"","IT","female","manufacturing","low",2.9672,-0.0135
"","IT","female","manufacturing","low",6.107,0
"","IT","female","manufacturing","medium",-2.277,-2.277
"","IT","female","manufacturing","medium",-2.0046,-2.0085
"","IT","female","manufacturing","medium",-1.6307,-1.65
"","IT","female","manufacturing","medium",-1.2669,-1.3065
"","IT","female","manufacturing","medium",-1.0393,-1.1003
"","IT","female","manufacturing","medium",-0.9046,-0.9814
"","IT","female","manufacturing","medium",-0.7949,-0.8881
"","IT","female","manufacturing","medium",-0.6289,-0.7554
"","IT","female","manufacturing","medium",-0.5628,-0.7053
"","IT","female","manufacturing","medium",-0.4881,-0.652
"","IT","female","manufacturing","medium",-0.4203,-0.6058
"","IT","female","manufacturing","medium",-0.3355,-0.5509
"","IT","female","manufacturing","medium",-0.2562,-0.5029
"","IT","female","manufacturing","medium",-0.1773,-0.4588
"","IT","female","manufacturing","medium",-0.075,-0.4068
"","IT","female","manufacturing","medium",0.0194,-0.3638
"","IT","female","manufacturing","medium",0.1638,-0.3057
"","IT","female","manufacturing","medium",0.3106,-0.2549
"","IT","female","manufacturing","medium",0.4996,-0.2005
"","IT","female","manufacturing","medium",0.7704,-0.1412
"","IT","female","manufacturing","medium",1.0269,-0.0994
"","IT","female","manufacturing","medium",1.344,-0.0606
"","IT","female","manufacturing","medium",1.6281,-0.0402
"","IT","female","manufacturing","medium",2.2378,-0.0193
"","IT","female","manufacturing","medium",2.6657,-0.012
"","IT","female","manufacturing","medium",3.3064,-0.0054
"","IT","female","manufacturing","medium",4.1249,-0.0033
"","IT","female","manufacturing","medium",6.3384,0
"","IT","female","manufacturing","high",-1.7955,-1.7955
"","IT","female","manufacturing","high",-1.1324,-1.143
"","IT","female","manufacturing","high",-0.8759,-0.9044
"","IT","female","manufacturing","high",-0.7448,-0.7976
"","IT","female","manufacturing","high",-0.5959,-0.691
"","IT","female","manufacturing","high",-0.4507,-0.5996
"","IT","female","manufacturing","high",-0.2235,-0.4767
"","IT","female","manufacturing","high",0.1138,-0.3343
"","IT","female","manufacturing","high",0.4051,-0.2524
"","IT","female","manufacturing","high",0.6195,-0.2066
"","IT","female","manufacturing","high",1.2243,-0.1108
"","IT","female","manufacturing","high",1.6961,-0.0589
"","IT","female","manufacturing","high",2.0576,-0.0363
"","IT","female","manufacturing","high",3.0763,-0.0057
"","IT","female","manufacturing","high",3.5053,0
"","IT","male","petroleum","low",-2.2864,-2.2864
"","IT","male","petroleum","low",-2.2017,-2.2019
"","IT","male","petroleum","low",-2.0975,-2.099
"","IT","male","petroleum","low",-1.8973,-1.9029
"","IT","male","petroleum","low",-1.774,-1.7838
"","IT","male","petroleum","low",-1.6638,-1.678
"","IT","male","petroleum","low",-1.5917,-1.6096
"","IT","male","petroleum","low",-1.514,-1.5366
"","IT","male","petroleum","low",-1.4558,-1.4822
"","IT","male","petroleum","low",-1.352,-1.3856
"","IT","male","petroleum","low",-1.2594,-1.3
"","IT","male","petroleum","low",-1.0985,-1.1537
"","IT","male","petroleum","low",-0.9821,-1.05
"","IT","male","petroleum","low",-0.8549,-0.9383
"","IT","male","petroleum","low",-0.7614,-0.8579
"","IT","male","petroleum","low",-0.7028,-0.8089
"","IT","male","petroleum","low",-0.6455,-0.7625
"","IT","male","petroleum","low",-0.5534,-0.6909
"","IT","male","petroleum","low",-0.4736,-0.6322
"","IT","male","petroleum","low",-0.4285,-0.6004
